2018-03-12,550,398,479.11971957576844
2018-03-19,772,444,631.311903109613
2018-03-26,838,562,710.8172338453389
2018-04-02,639,159,333.8240389374691
2018-04-09,539,230,365.4496812122216
2018-04-16,707,420,577.163133380849
2018-04-23,935,442,760.4030882158445
2018-04-30,927,522,741.2927901136665
2018-05-07,1228,818,1020.1381572424733
2018-05-14,1378,1107,1228.4418054222251
2018-05-21,1425,1059,1226.546760209147
2018-05-28,1482,1111,1274.3848021805568
2018-06-04,1744,1159,1466.1154329562744
2018-06-11,1779,1523,1680.2739850719097
2018-06-18,1929,1619,1795.0943580248954
2018-06-25,1922,1602,1762.4525296017223
2018-07-02,2008,1754,1877.8181098335506
2018-07-09,2048,1895,1973.5340607490416
